Summary:
Execution time: ,81 seconds
Total # of voyages: 1224
Number of installations (excluding depot): 8
Number of time windows: 2
Number of vessels: 5
Min. # of installations: 1
Max. number of installations: 8
Min. duration: 56
Max. duration: 80
Name: FarSeeker	 # of voyages: 250
Name: FarStar	 # of voyages: 234
Name: FarSymphony	 # of voyages: 241
Name: FarSearcher	 # of voyages: 250
Name: HavilaForesight	 # of voyages: 249
------------------------------------------------------------------------------------------------------------------------
Vessel: FarSeeker
Voyages: 
number: 3	 cost: 37969,77	 capacityUsed: 122,60	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1
number: 11	 cost: 44429,35	 capacityUsed: 263,72	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-2
number: 15	 cost: 39084,74	 capacityUsed: 154,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-3
number: 21	 cost: 45544,33	 capacityUsed: 277,16	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3
number: 25	 cost: 64838,25	 capacityUsed: 156,72	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4
number: 31	 cost: 73721,70	 capacityUsed: 279,32	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-4
number: 38	 cost: 43120,47	 capacityUsed: 295,68	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3
number: 42	 cost: 59990,54	 capacityUsed: 125,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-5
number: 59	 cost: 49580,06	 capacityUsed: 418,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-2
number: 67	 cost: 62814,33	 capacityUsed: 248,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-5
number: 74	 cost: 73721,70	 capacityUsed: 297,84	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-4
number: 78	 cost: 44841,41	 capacityUsed: 299,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-6
number: 95	 cost: 80181,29	 capacityUsed: 420,44	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-1-4
number: 103	 cost: 47265,27	 capacityUsed: 422,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-6
number: 110	 cost: 62814,33	 capacityUsed: 266,52	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-5
number: 117	 cost: 74836,68	 capacityUsed: 311,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-3-4
number: 138	 cost: 69273,92	 capacityUsed: 389,12	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-1-5
number: 156	 cost: 81296,26	 capacityUsed: 433,88	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-3-4
number: 164	 cost: 43726,43	 capacityUsed: 233,48	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-7
number: 171	 cost: 46053,34	 capacityUsed: 440,52	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-6
number: 178	 cost: 63929,31	 capacityUsed: 279,96	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-3-5
